Bezirk,Bezirkname,Prognoseraum,Bezirksregion,Planungsraum,Planungsraumname,total,0_6,6_15,15_18,18_27,27_45,45_55,55_65,65 _mehr,weiblich,männlich ,weiblich%,männlich%,Ausländer,6_18,0_18
8,Neukölln,1,4,4,Rixdorf,23507,1543,1637,463,2541,10392,2593,2241,2097,11325,12182,0.4818,0.5182,7989,2100,3643
8,Neukölln,1,4,5,Hertzbergplatz,8951,516,557,160,933,3868,1030,834,1053,4551,4400,0.5084,0.4916,2742,717,1233
8,Neukölln,1,4,6,Treptower Straße Nord,7122,589,679,173,770,2680,764,667,800,3473,3649,0.4876,0.5124,2791,852,1441
8,Neukölln,1,4,7,Gewerbegebiet Ederstraße,796,43,27,8,102,396,104,63,53,391,405,0.4912,0.5088,235,35,78
8,Neukölln,1,5,8,Weiße Siedlung,5824,603,712,189,771,1494,727,589,739,2873,2951,0.4933,0.5067,2088,901,1504
8,Neukölln,1,5,9,Schulenburgpark,9393,782,1287,331,1153,2352,1199,945,1344,4674,4719,0.4976,0.5024,2748,1618,2400
8,Neukölln,1,5,10,Gewerbegebiet Köllnische Heide,481,32,29,12,62,197,75,49,25,201,280,0.4179,0.5821,239,41,73
8,Neukölln,2,6,19,Buschkrugallee Nord,11542,880,1082,295,1375,3392,1491,1303,1724,5536,6006,0.4796,0.5204,3811,1377,2257
8,Neukölln,2,6,20,Tempelhofer Weg,9261,551,668,193,998,2531,1219,1200,1901,4780,4481,0.5161,0.4839,2022,861,1412
8,Neukölln,2,6,21,Mohriner Allee Nord,2343,111,206,64,201,408,371,448,534,1195,1148,0.51,0.49,204,270,381
8,Neukölln,2,6,22,Parchimer Allee,14267,788,952,312,1312,3398,1990,2165,3350,7501,6766,0.5258,0.4742,1913,1264,2052
8,Neukölln,2,6,23,Ortolanweg,1253,55,74,28,97,226,178,217,378,661,592,0.5275,0.4725,165,102,157
